comment,idea_id,task_id,user_id,created_at,processed,polarity,subjectivity_score,sentiment,sentiment_corenlp,subjectivity_score_corenlp,subjectivity,profanity,named_entities_corenlp,named_entities
"Crosswalks are extremely dangerous. Currently, motor traffic downtown dominates the landscape. Motorists do not wait for pedestrians. They turn in fronton us on their rush to go wherever they are going. They run lights and roll through stop signs. They rush around blind spots such as buses and monster SUVS and trucks and into pedestrian traffic. This idea of a roundabout that is int he center of motor traffic is a very dangerous idea.",3,12,44,8/11/2017 17:37,crosswalks extremely dangerous currently motor_traffic downtown dominates landscape motorists wait pedestrians turn fronton us rush go wherever going run lights roll stop signs rush around blind spots buses monster suvs trucks pedestrian traffic idea roundabout int center motor_traffic dangerous idea,-0.33,0.594444444,Negative,"Negative,Negative,Negative,Negative,Negative,Negative,Negative,","1,1,1,1,1,1,1,",Opinion,0.009072738,"DATE-Currently,",['SUVS']
"If roundabouts are put into the center of motor traffic there will be more pedestrians at risk of injury or death from motors traffic. If no motor traffic is allowed and only Free Ride carts or a small trolley like the Vintage one is int he area, this would be a lovely safe space for pedestrians.",3,9,44,8/11/2017 17:38,roundabouts put center motor_traffic pedestrians risk injury death motors traffic motor_traffic allowed free ride carts small trolley like vintage one int area lovely safe space pedestrians,0.221428571,0.578571429,Positive,"Negative,Negative,","1,1,",Opinion,0.023157708,"NUMBER-one,",[]
"The only way for this to be a pleasant and civilized design is to restrict private vehicle motor traffic. Free Ride carts, the trolley or bikes should be the only traffic allowed in the area. And greenery should be lush in order to mimics air pollution and create shade.",3,8,44,8/11/2017 17:41,way pleasant civilized design restrict private vehicle motor_traffic free ride carts trolley bikes traffic allowed area greenery lush order mimics air pollution create shade,0.233333333,0.763095238,Positive,"Negative,Negative,Negative,","1,1,1,",Opinion,0.020826308,,[]
It is a brilliant idea IF private motor traffic will be restricted. If not I will not risk crossing a busy street full of private vehicles in order to reach the park.,10,9,44,8/11/2017 17:42,brilliant idea private motor_traffic restricted risk crossing busy street full private vehicles order reach park,0.27,0.52,Positive,"Neutral,Neutral,","2,2,",Opinion,0.036971274,,[]
"If private motor traffic is not restricted there will be injuries and fatalities. Additionally, there should be a separate area for dogs, in order to give both dogs and people a safe space in which to socialize. I am not a dog person, I am terrified of them and do not like sharing space with them. However I would like to see dogs have their own space as they are also downtown residents.",10,7,44,8/11/2017 17:46,private motor_traffic restricted injuries fatalities additionally separate area dogs order give dogs people safe space socialize dog person terrified like sharing space however like see dogs space also downtown residents,0.366666667,0.625,Positive,"Neutral,Neutral,Neutral,Neutral,","2,2,2,2,",Opinion,0.082671178,,[]
It is feasible if private motor traffic is restricted and dogs have their own social space.,10,6,44,8/11/2017 17:46,feasible private motor_traffic restricted dogs social space,0.211111111,0.480555556,Positive,"Negative,","1,",Fact,0.048211489,,[]
Brilliant -- love it!,6,6,44,8/11/2017 17:47,brilliant love,0.7625,0.8,Positive,"Positive,","3,",Opinion,0.114448181,,[]
Restrict private motor traffic for public safety please.,6,8,44,8/11/2017 17:48,restrict private motor_traffic public safety please,0,0.220833333,Positive,"Positive,","3,",Fact,0.05338861,,[]
"Roundabouts are most commonly used internationally, yet we have a few in San Diego. This type of functional \intersection\"" will add a distinctive element bridging Barrio Logan with East Village.""",3,6,45,8/15/2017 2:38,roundabouts commonly used internationally yet san_diego type functional intersection add distinctive element bridging barrio_logan east_village,0,0.275,Positive,"Negative,Negative,","1,1,",Fact,0.044101803,"CITY-San Diego,LOCATION-Barrio,CITY-Logan,","['Roundabouts', 'San Diego', 'Barrio Logan', 'East Village']"
Roundabouts keep traffic flowing and offer an opportunity for iconic public art in the middle or on adjacent property.,3,9,45,8/15/2017 2:40,roundabouts keep traffic flowing offer opportunity iconic public_art middle adjacent property,0.166666667,0.188888889,Positive,"Positive,","3,",Fact,0.052372545,,['Roundabouts']
It depends on the number of connecting streets. What is most common in other international cities that incorporate their usage?,3,12,45,8/15/2017 2:48,depends number connecting streets common international cities incorporate usage,0.01875,0.34375,Positive,"Neutral,Neutral,","2,2,",Fact,0.030810097,,[]
"The idea to create a Promenade Real has the potential to bring the community together around art, performance, landscape and temporary interventions.  It would serve to create a linear stage that extends local businesses; encourages a flexible free space for public programming, enhance safety, reduce homeless lingering, all which would provide a better quality of life for the community.",15,9,47,8/17/2017 19:22,idea create promenade real potential bring community together around art performance landscape temporary interventions serve create linear stage extends local businesses encourages flexible free space public programming enhance safety reduce homeless lingering provide better quality_life community,0.183333333,0.444444444,Positive,"Negative,Negative,","1,1,",Fact,0.002678669,,[]
"Very feasible allowing that city works with you to obtain the necessary permits.  I then believe there can be a multi-partnership approach between DTSDP (Clean and Safe), EVA for programming and activation, EVBA (Idea District) for tactical infrastructure (street paint, movable furniture, lighting and landscape).",15,6,47,8/17/2017 19:28,feasible allowing city works obtain necessary permits believe multi partnership approach dtsdp clean safe eva programming activation evba idea district tactical infrastructure street paint movable furniture lighting landscape,0.266666667,0.625,Positive,"Negative,Negative,","1,1,",Opinion,0.003647599,"PERSON-EVA,","['DTSDP', 'EVBA', 'Idea District']"
Love Fanny's thoughts here.,10,5,20,8/18/2017 20:12,love fanny thoughts,0.5,0.6,Positive,"Neutral,","2,",Opinion,0.090773977,,['Fanny']
"As long as we can make it work from a traffic perspective, I love it. It would transform the entire area and it is a very important connection point in downtown.",3,6,20,8/18/2017 20:14,long make work traffic perspective love transform entire area important connection point downtown,0.2425,0.65625,Positive,"Positive,Positive,","3,3,",Opinion,0.025618086,,[]
Art is a wonderful way to connect people within a community.,6,17,51,8/21/2017 21:05,art wonderful way connect people within community,1,1,Positive,"Verypositive,","4,",Opinion,0.027543346,,[]
I don't think it would impact quality of life in the area.,6,16,51,8/21/2017 21:07,don think impact quality_life area,0,0,Positive,"Negative,","1,",Fact,0.121814449,,[]
In this way the railway would not be interfered while all the other part remains working,22,14,53,8/21/2017 21:19,way railway interfered part remains working,-0.125,0.375,Negative,"Negative,","1,",Fact,0.086800774,,[]
there is a downside of this: trunk might have problem passing through,22,6,53,8/21/2017 21:22,downside trunk might problem passing,0,0,Positive,"Neutral,","2,",Fact,0.080938309,,[]
I think it will not have an effect on safety of the area,24,14,52,8/21/2017 21:26,think effect safety area,0,0,Positive,"Neutral,","2,",Fact,0.09683842,,[]
It wont impact life,24,16,52,8/21/2017 21:27,wont impact life,0,0,Positive,"Positive,","3,",Fact,0.214288035,,[]
Not feesible,24,6,52,8/21/2017 21:27,feesible,0,0,Positive,"Neutral,","2,",Fact,0.120956044,,[]
It would impact safety in the area.,14,14,54,8/21/2017 21:27,impact safety area,0,0,Positive,"Neutral,","2,",Fact,0.129413418,,[]
It may require collaboration from the transportation services.,14,6,54,8/21/2017 21:28,may require collaboration transportation services,0,0,Positive,"Neutral,","2,",Fact,0.083383978,,[]
People would have more access to public transit.,14,16,54,8/21/2017 21:28,people access public_transit,0.25,0.283333333,Positive,"Neutral,","2,",Fact,0.080296004,,[]
I like art a lot,2,16,52,8/21/2017 21:28,like art lot,0,0,Positive,"Neutral,","2,",Fact,0.082657278,,[]
It will improve public transit.,14,15,54,8/21/2017 21:29,improve public_transit,0,0.066666667,Positive,"Neutral,","2,",Fact,0.118716765,,[]
It wont  because its art,2,15,52,8/21/2017 21:29,wont art,0,0,Positive,"Neutral,","2,",Fact,0.11154469,,[]
I have no idea what this is,2,14,52,8/21/2017 21:29,idea,0,0,Positive,"Neutral,","2,",Fact,0.088679192,,[]
It might be a good way to move between two places.,24,15,54,8/21/2017 21:30,might good way move two places,0.7,0.6,Positive,"Positive,","3,",Opinion,0.087628807,"NUMBER-two,",[]
It isn't very feasible at all.. due to it's childish nature.,24,6,54,8/21/2017 21:30,isn feasible due childish nature,-0.041666667,0.491666667,Negative,"Neutral,Neutral,Neutral,","2,2,2,",Fact,0.136375141,,[]
May cause some accidents.,24,14,54,8/21/2017 21:30,may cause accidents,0,0,Positive,"Neutral,","2,",Fact,0.123497811,"DATE-May,CAUSE_OF_DEATH-accidents,",[]
The rise of large buildings may cause road blockage.,1,15,51,8/21/2017 21:37,rise large buildings may cause road blockage,0.214285714,0.428571429,Positive,"Neutral,","2,",Fact,0.199609066,,[]
No idea what the towers for used for.,1,17,51,8/21/2017 21:38,idea towers used,0,0,Positive,"Neutral,","2,",Fact,0.061735334,,[]
Could possibly become spot for people to hang out.,1,14,51,8/21/2017 21:38,possibly become spot people hang,0,1,Positive,"Positive,","3,",Opinion,0.171198479,,[]
Without knowing what it is- impossible to understand the impact it would have.,1,16,51,8/21/2017 21:39,without knowing impossible understand impact,-0.666666667,1,Negative,"Negative,","1,",Opinion,0.113553698,,[]
Public transit would run much more smoothly.,14,15,51,8/21/2017 21:39,public_transit run much smoothly,0.3,0.355555556,Positive,"Negative,","1,",Fact,0.103717732,,[]
I think its a great idea,1,1,27,8/21/2017 21:39,think great_idea,0.8,0.75,Positive,"Positive,","3,",Opinion,0.067501222,,[]
What will these platforms afford?,23,17,51,8/21/2017 21:48,platforms afford,0,0,Positive,"Neutral,","2,",Fact,0.126491178,,[]
"Instead, we can have a flat/rigid bridge to make it more accessible.",22,1,3,8/21/2017 22:23,instead flat rigid bridge make accessible,0.4375,0.4375,Positive,"Neutral,","2,",Fact,0.111280215,,[]
Kinetic sculpture: http://www.poetickinetics.com/liquid-shard/,6,1,3,8/21/2017 22:24,kinetic sculpture http www poetickinetics com liquid shard,0,0,Positive,"Neutral,","2,",Fact,0.048287477,"URL-http://www.poetickinetics.com/liquid-shard/,",[]
Completely feasible,25,6,56,8/22/2017 3:07,completely feasible,0.1,0.4,Positive,"Negative,","1,",Fact,0.086594322,,[]
Transportation is what changes American culture,25,16,56,8/22/2017 3:08,transportation changes american culture,0,0,Positive,"Neutral,","2,",Fact,0.080480268,"NATIONALITY-American,","['Transportation', 'American']"
It's not about ME! It's about the neighborhood!,25,17,56,8/22/2017 3:10,neighborhood,0,0,Positive,"Neutral,Neutral,","2,2,",Fact,0.086569362,"STATE_OR_PROVINCE-ME,",[]
Activation = safer,25,14,56,8/22/2017 3:11,activation safer,0,0,Positive,"Neutral,","2,",Fact,0.082993384,,[]
Sense of place,26,14,57,8/22/2017 3:26,sense place,0,0,Positive,"Neutral,","2,",Fact,0.091917077,,[]
"Not very impactful, except to draw more visitors to area (passersby)",26,15,57,8/22/2017 3:28,impactful except draw visitors area passersby,0.2,0.4,Positive,"Negative,","1,",Fact,0.138760037,,[]
Can't lose with this one,26,16,57,8/22/2017 3:29,lose one,0,0,Positive,"Neutral,","2,",Fact,0.128315859,"NUMBER-one,",[]
"Very feasible, with adequate funding, which would be relatively affordable. Perhaps a joint venture between EV and Barrio communities.",26,6,57,8/22/2017 3:29,feasible adequate funding relatively affordable perhaps joint venture ev barrio communities,0.177777778,0.211111111,Positive,"Neutral,Neutral,","2,2,",Fact,0.109636916,"LOCATION-Barrio,",[]
"The objective should not be to separate people from cars, but to separate cars from people. A better model would be a roundabout with no traffic control devices. This has been used successfully in Europe.",22,16,58,8/22/2017 3:39,objective separate people cars separate cars people better model roundabout traffic control devices used successfully europe,0.416666667,0.516666667,Positive,"Negative,Negative,Negative,","1,1,1,",Opinion,0.070692334,"TITLE-model,LOCATION-Europe,",['Europe']
"A bit far from where I live for me to hang out, but I do see it as a destination.",14,17,60,8/22/2017 13:05,bit far live hang see destination,0.118181818,0.75,Positive,"Positive,","3,",Opinion,0.159986847,,[]
"By making it open and comfortable, seating and water features.",14,16,60,8/22/2017 13:07,making open comfortable seating water features,0.2,0.65,Positive,"Positive,","3,",Opinion,0.082042759,,[]
Very doable.,14,6,60,8/22/2017 13:11,doable,0.2,0.3,Positive,"Positive,","3,",Fact,0.120956044,,[]
It needs to be open but with spaces to small to throw a tent.,14,14,60,8/22/2017 13:14,needs open spaces small throw tent,-0.125,0.45,Negative,"Negative,","1,",Fact,0.093448744,,[]
